"filename", "language", "Python", "XML", "Django txt", "toml", "JSON", "CSS", "JavaScript", "Django HTML", "Markdown", "comment", "blank", "total"
"/home/kubakin/Diplom/service/app/static/admin/img/icon-no.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-unknown-alt.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-unknown.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-viewlink.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/icon-yes.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/inline-delete.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/search.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/selector-icons.svg", "XML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/kubakin/Diplom/service/app/static/admin/img/sorting-icons.svg", "XML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/kubakin/Diplom/service/app/static/admin/img/tooltag-add.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/img/tooltag-arrowright.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/kubakin/Diplom/service/app/static/admin/js/SelectBox.js", "JavaScript", 0, 0, 0, 0, 0, 0, 105, 0, 0, 5, 1, 111
"/home/kubakin/Diplom/service/app/static/admin/js/SelectFilter2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 190, 0, 0, 27, 20, 237
"/home/kubakin/Diplom/service/app/static/admin/js/actions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 147, 0, 0, 6, 2, 155
"/home/kubakin/Diplom/service/app/static/admin/js/actions.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/home/kubakin/Diplom/service/app/static/admin/js/admin/DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 325, 0, 0, 66, 27, 418
"/home/kubakin/Diplom/service/app/static/admin/js/admin/RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 0, 0, 0, 141, 0, 0, 7, 12, 160
"/home/kubakin/Diplom/service/app/static/admin/js/autocomplete.js", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 4, 39
"/home/kubakin/Diplom/service/app/static/admin/js/calendar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 164, 0, 0, 28, 16, 208
"/home/kubakin/Diplom/service/app/static/admin/js/cancel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 3, 29
"/home/kubakin/Diplom/service/app/static/admin/js/change_form.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 1, 17
"/home/kubakin/Diplom/service/app/static/admin/js/collapse.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 1, 44
"/home/kubakin/Diplom/service/app/static/admin/js/collapse.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/core.js", "JavaScript", 0, 0, 0, 0, 0, 0, 130, 0, 0, 19, 15, 164
"/home/kubakin/Diplom/service/app/static/admin/js/inlines.js", "JavaScript", 0, 0, 0, 0, 0, 0, 263, 0, 0, 59, 27, 349
"/home/kubakin/Diplom/service/app/static/admin/js/inlines.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/home/kubakin/Diplom/service/app/static/admin/js/jquery.init.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 1, 9
"/home/kubakin/Diplom/service/app/static/admin/js/nav_sidebar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"/home/kubakin/Diplom/service/app/static/admin/js/pagedown.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 11, 3, 31
"/home/kubakin/Diplom/service/app/static/admin/js/popup_response.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
"/home/kubakin/Diplom/service/app/static/admin/js/prepopulate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 10, 5, 44
"/home/kubakin/Diplom/service/app/static/admin/js/prepopulate.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/kubakin/Diplom/service/app/static/admin/js/prepopulate_init.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/home/kubakin/Diplom/service/app/static/admin/js/urlify.js", "JavaScript", 0, 0, 0, 0, 0, 0, 172, 0, 0, 8, 6, 186
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/jquery/LICENSE.txt", "Django txt", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/jquery/jquery.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6906, 0, 0, 1890, 2077, 10873
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/jquery/jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 22
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/af.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/ar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/az.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/bg.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/bn.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/bs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/ca.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/cs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/da.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/de.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/dsb.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/el.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/en.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/home/kubakin/Diplom/service/app/static/admin/js/vendor/select2/i18n/es.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
